budget.level,supplementary,flow,fin.year,budget.category,flow.type,budget.entry,value
Union,FALSE,income,2012,Union Institutions,Other Current Receipts,Office of the Union Government,16
Union,FALSE,income,2012,Union Institutions,Other Current Receipts,Pyidaungsu Hluttaw,2
Union,FALSE,income,2012,Union Institutions,Other Current Receipts,Supreme Court of the Union,4.85
Union,FALSE,income,2012,Union Institutions,Other Current Receipts,Union Attorney-General Office,10.69
Union,FALSE,income,2012,Union Institutions,Other Current Receipts,Union Auditor-General Office,27.864
Union,FALSE,income,2012,Union Institutions,Other Current Receipts,Union Civil Services Board,18.33
Union,FALSE,income,2012,Total,Other Current Receipts,TOTAL UG REVENUES,79.734
Union,FALSE,income,2012,CDC,Other Current Receipts,Cantonment Municipilities under the Ministry of Defence,331.274
Union,FALSE,income,2012,CDC,Other Current Receipts,Nay Pyi Taw Development Committee,3833.1726
Union,FALSE,income,2012,Total,Other Current Receipts,TOTAL CDC REVENUES,4164.447
Union,FALSE,income,2012,Grand Total,Other Current Receipts,TOTAL REVENUES ACROSS ALL CATEGORIES,3108663.288
Union,FALSE,income,2013,Ministries and Departments,Other Current Receipts,Home Affairs,3637.505
Union,FALSE,income,2013,Ministries and Departments,Other Current Receipts,Defence,75619.084
Union,FALSE,income,2013,Ministries and Departments,Other Current Receipts,Border Affairs,45.34
Union,FALSE,income,2013,Ministries and Departments,Other Current Receipts,Foreign Affairs,793.945
Union,FALSE,income,2013,Ministries and Departments,Other Current Receipts,Information,3520.03
Union,FALSE,income,2013,Ministries and Departments,Other Current Receipts,Culture,1285.04
Union,FALSE,income,2013,Ministries and Departments,Other Current Receipts,Agriculture and Irrigation,27365.691
Union,FALSE,income,2013,Ministries and Departments,Other Current Receipts,Religious Affairs,52.37
Union,FALSE,income,2013,Ministries and Departments,Other Current Receipts,Cooperative,230.754
Union,FALSE,income,2013,Ministries and Departments,Other Current Receipts,"Livestock, Fisheries and Rural Development",1089.669
Union,FALSE,income,2013,Ministries and Departments,Other Current Receipts,Industry,3927.353
Union,FALSE,income,2013,Ministries and Departments,Other Current Receipts,Rail Transportation,3880
Union,FALSE,income,2013,Ministries and Departments,Other Current Receipts,Mines,1016.6
Union,FALSE,income,2013,Ministries and Departments,Other Current Receipts,Construction,15534.422
Union,FALSE,income,2013,Ministries and Departments,Other Current Receipts,Finance,10042.903
Union,FALSE,income,2013,Ministries and Departments,Other Current Receipts,Electric Power,60.1
Union,FALSE,income,2013,Ministries and Departments,Other Current Receipts,National Planning and Economic Development,3096.918
Union,FALSE,income,2013,Ministries and Departments,Other Current Receipts,"Labour, Employment and Social Security ",50.087
Union,FALSE,income,2013,Ministries and Departments,Other Current Receipts,"Social Welfare, Relief and Resettlement",66.357
Union,FALSE,income,2013,Ministries and Departments,Other Current Receipts,Transport,62831.289
Union,FALSE,income,2013,Ministries and Departments,Other Current Receipts,Communications and Information Technology,200.525
Union,FALSE,income,2013,Ministries and Departments,Other Current Receipts,Energy,0.05
Union,FALSE,income,2013,Ministries and Departments,Other Current Receipts,Immigration and Populations,5881.696
Union,FALSE,income,2013,Ministries and Departments,Other Current Receipts,Science and Technology,295.552
Union,FALSE,income,2013,Ministries and Departments,Other Current Receipts,Environmental Conservation and Forestry,315.245
Union,FALSE,income,2013,Ministries and Departments,Other Current Receipts,Commerce,2819.492
Union,FALSE,income,2013,Ministries and Departments,Other Current Receipts,Hotels and Tourism Services,4062.42
Union,FALSE,income,2013,Ministries and Departments,Other Current Receipts,Sports,28.525
Union,FALSE,income,2013,Ministries and Departments,Other Current Receipts,Education,10944.341
Union,FALSE,income,2013,Ministries and Departments,Other Current Receipts,Health,11073.682
Union,FALSE,income,2013,Ministries and Departments,Other Current Receipts,Pensions and Gratuities,5.04
Union,FALSE,income,2013,Total,Other Current Receipts,TOTAL M&D REVENUES,249772.025
Union,FALSE,income,2013,Union Institutions,Other Current Receipts,Office of the Union Government,16
Union,FALSE,income,2013,Union Institutions,Other Current Receipts,Pyidaungsu Hluttaw,2
Union,FALSE,income,2013,Union Institutions,Other Current Receipts,Supreme Court of the Union,3.6
Union,FALSE,income,2013,Union Institutions,Other Current Receipts,Union Attorney-General Office,10.69
Union,FALSE,income,2013,Union Institutions,Other Current Receipts,Union Auditor-General Office,17.648
Union,FALSE,income,2013,Union Institutions,Other Current Receipts,Union Civil Services Board,17.68
Union,FALSE,income,2013,Total,Other Current Receipts,TOTAL UG REVENUES,67.618
